"GIDTR","State","State_name","County","County_name","Tract","Low_Response_Score","Mail_Return_Rate_CEN_2010","Tot_Population_ACS_12_16","Med_HHD_Inc_ACS_12_16","pct_Pop_under_5_ACS_12_16","pct_Pop_18_24_ACS_12_16","pct_Pop_65plus_ACS_12_16","pct_Prs_Blw_Pov_Lev_ACS_12_16","pct_Female_No_HB_ACS_12_16","pct_Not_HS_Grad_ACS_12_16","pct_NH_Blk_alone_ACS_12_16","pct_NH_White_alone_ACS_12_16","pct_Hispanic_ACS_12_16","pct_NH_AIAN_alone_ACS_12_16","pct_NH_Asian_alone_ACS_12_16","pct_NH_NHOPI_alone_ACS_12_16","pct_NH_SOR_alone_ACS_12_16","pct_Born_foreign_ACS_12_16","pct_ENG_VW_ACS_12_16","pct_Age5p_Spanish_ACS_12_16","pct_Age5p_Russian_ACS_12_16","pct_Age5p_Chinese_ACS_12_16","pct_Age5p_Korean_ACS_12_16","pct_Age5p_Vietnames_ACS_12_16","pct_Age5p_Tagalog_ACS_12_16","pct_Age5p_Arabic_ACS_12_16","Tot_Housing_Units_ACS_12_16","Tot_Occp_Units_ACS_12_16","pct_Renter_Occp_HU_ACS_12_16","pct_Rel_Under_6_ACS_12_16","pct_Diff_HU_1yr_Ago_ACS_12_16","pct_Vacant_Units_ACS_12_16","pct_MLT_U10p_ACS_12_16","pct_Single_Unit_ACS_12_16","pct_Crowd_Occp_U_ACS_12_16","pct_minority","pct_multiunit","pcat_all","pcat_10x1"
"09001010101","09","Connecticut","001","Fairfield County","010101",16.2,75.3,4132,"$150,655",4.5,6.29,25.48,11.08,8.46,6.14,1.11,85.5,4.57,0.51,6.17,0,0,14.86,1.26,0.33,0.63,0,0.58,0,0,0,1600,1348,18.25,14.58,9.47,15.75,1.69,94.38,0,14.5,5.62,5,5
"09001010102","09","Connecticut","001","Fairfield County","010102",15.7,84,4174,"$250,001",5.87,8.48,18.59,8.11,5.41,3.79,2.37,84.28,3.35,0.22,9.18,0,0,21.54,1.31,0.81,0.23,0.69,0.25,0,0,0,1554,1293,10.67,16.62,9.49,16.8,0,95.24,0,15.72,4.76000000000001,5,5
"09001010201","09","Connecticut","001","Fairfield County","010201",14.4,76.8,3277,"$212,448",5.07,5.52,21.61,5.97,1.92,6.63,1.46,82.88,9.49,0,5.61,0,0,16.11,3.13,2.51,0,0.96,0,0,0,0,1103,991,22.91,17.81,12.78,10.15,0,92.48,0,17.12,7.52,5,5
"09001010202","09","Connecticut","001","Fairfield County","010202",16.6,77.7,5546,"$187,875",6.76,4.72,15.65,2.69,7.27,3.52,0.43,73.91,11.07,0,12.33,0,0.18,21.53,8.84,2.34,0,0.25,0,0,0.31,0,1915,1856,25,18.64,14.29,3.08,1.25,85.48,0.81,26.09,14.52,5,5
"09001010300","09","Connecticut","001","Fairfield County","010300",16.6,85.3,4049,"$221,250",5.73,5.78,16.18,3.62,6.83,3.91,1.19,86.22,7.36,0,4.79,0,0,16.72,1.88,0.94,0,1.83,0,0,0,0.21,1615,1435,28.15,17.18,13.9,11.15,2.11,81.55,1.53,13.78,18.45,5,5
"09001010400","09","Connecticut","001","Fairfield County","010400",19.6,75.5,5847,"$107,965",9.34,5.39,17.21,5.28,17.28,4.55,6.02,78.69,7.03,0.14,4.12,0,1.92,16.69,1.72,0.64,1.45,0,0.34,0,0,0,2253,2031,30.72,28.74,10.44,9.85,5.81,72.61,0.54,21.31,27.39,5,5
"09001010500","09","Connecticut","001","Fairfield County","010500",25.7,72.9,6050,"$65,593",8.53,9.8,11.7,7.98,12.93,6.75,6.99,57.12,20.38,0,11.31,0,1.12,35.97,11.61,11,0.92,0.25,0,0.49,1.07,0,2608,2420,76.53,31.57,17.42,7.21,17.14,25.54,3.26,42.88,74.46,5,5
"09001010600","09","Connecticut","001","Fairfield County","010600",21.4,75.7,1700,"$93,810",7.06,6.24,23.41,7.73,8.68,9,6.41,72.12,8.88,0,12.59,0,0,30.29,5.33,2.78,0,0,2.72,0.51,0,0,1151,1014,63.71,17.95,13.33,11.9,51.26,16.59,0,27.88,83.41,5,5
"09001010700","09","Connecticut","001","Fairfield County","010700",19.9,82.6,3730,"$73,831",7.96,4.26,23.83,9.79,11.14,7.45,4.13,77.35,12.79,0,5.5,0,0,29.36,8.61,4.69,0.73,2.04,0,0,0.84,0,1835,1696,52.59,24.52,16.22,7.57,25.01,42.29,2.65,22.65,57.71,5,5
"09001010800","09","Connecticut","001","Fairfield County","010800",18.7,77.5,3376,"$128,494",4.35,8.06,15.76,5.33,7.08,3.52,2.22,75.15,9.77,0.27,9.39,0,1.18,28.61,7.32,1.05,1.36,0.96,0,0,0,0,1370,1257,30.47,22.54,13.46,8.25,5.26,77.45,0.8,24.85,22.55,5,5
"09001010900","09","Connecticut","001","Fairfield County","010900",18,81.1,5347,"$132,153",6.96,6.04,14.18,6.43,7.91,2.91,1.83,63.74,18.4,0,12.66,0,0,28.73,9.28,7.9,0,3.56,0,0,0,0,1912,1821,23.17,23.37,14.88,4.76,10.04,81.9,2.03,36.26,18.1,5,5
"09001011000","09","Connecticut","001","Fairfield County","011000",15.7,82.2,5496,"$248,171",7.04,4.99,12.15,4.52,7.71,1.01,0.51,80.39,7.93,0,7.3,0,0.62,20.34,2.71,1.21,0.18,1.14,0,0,0,0,1797,1700,14.71,23.3,15.84,5.4,7.4,90.21,0,19.61,9.79000000000001,5,5
"09001011100","09","Connecticut","001","Fairfield County","011100",14.6,85,4446,"$250,001",6.1,5.2,12.93,2.02,1.86,3.22,0.94,84.1,4.97,0,7.33,0,0.29,17.48,0.5,0.53,0,0.5,0,0,0.84,0,1573,1395,10.47,21.89,12.95,11.32,5.72,92.82,0,15.9,7.18000000000001,5,5
"09001011200","09","Connecticut","001","Fairfield County","011200",18.7,75.2,1633,"$220,625",5.27,4.41,22.72,7.78,9.38,2.59,0.12,84.81,10.17,0,4.35,0,0,15.43,0.82,0.9,0,0.65,0,0,0,0,764,608,18.75,17.7,8.61,20.42,7.2,73.95,0,15.19,26.05,5,5
"09001011300","09","Connecticut","001","Fairfield County","011300",23.8,75.3,3615,"$85,100",9.35,5.7,9.82,10.59,8.65,11.09,1.44,46.89,43.15,0.44,6.11,0.64,0,35.74,13.46,19.32,0.95,0,0,0,2.62,0,1323,1248,58.17,35.89,14.41,5.67,5.06,45.58,5.53,53.11,54.42,5,5
"09001020100","09","Connecticut","001","Fairfield County","020100",27.2,74.7,4296,"$54,038",4.61,5.84,18.37,21.62,7.03,10.5,30.38,35.15,25.21,0.33,7.15,0.28,0,42.71,21.4,10.15,2.49,2.1,0,0,0,0,2899,2276,89.5,17.48,29.32,21.49,88.89,2.55,3.69,64.85,97.45,5,5
"09001020200","09","Connecticut","001","Fairfield County","020200",11.7,81.8,3465,"$226,875",5.4,7.82,17.89,3.32,3.49,0,3.61,81.99,4.3,0,7.24,0,0,16.74,1.75,0.7,0,0.4,0,0,0,0,1325,1203,1.91,15.69,6.52,9.21,0,99.4,0,18.01,0.599999999999994,5,5
"09001020300","09","Connecticut","001","Fairfield County","020300",10.9,82.9,7197,"$207,938",5.53,6.63,17.06,2.32,3.21,2.15,2.85,84.8,6.56,0.18,5.07,0,0,16.65,0,0.24,0,0,0,0,1.43,0,2511,2433,8.3,17,10.15,3.11,0,100,0,15.2,0,5,5
"09001020400","09","Connecticut","001","Fairfield County","020400",14.1,83.2,3937,"$177,361",4.42,4.88,17.32,2.62,4.41,4.04,3.2,68.33,18.19,0,8.28,0,0,24.82,0.82,6.88,1.44,0.69,0,0,0,0.19,1287,1225,5.88,17.76,7.21,4.82,1.48,97.67,3.1,31.67,2.33,5,5
"09001020500","09","Connecticut","001","Fairfield County","020500",13.4,81.7,4972,"$155,208",6.84,4.02,26.07,2.38,5.01,4.14,3.36,80.41,9.25,1.43,4.91,0,0,21.68,3.27,2.66,1.3,0,0,0,2.42,0.15,1798,1715,12.89,21.16,7.89,4.62,5.34,94.66,0,19.59,5.34,5,5
